anuncio_data;anuncio_ano;anuncio_mes;empresa_alvo;municipio;regiao;descr_investimento;setor_desc;cnae_inv_2_desc
20/08/2020;2020;8;Supermercados Rondon;Araçatuba;RA Araçatuba;Construção supermercado de mercadorias em geral na avenida Odorindo Perenha, zona leste;Comércio;Comércio varejista
20/08/2020;2020;8;Pirelli;Elias Fausto;RA Campinas;Abertura espaço Circuito Panamericano, complexo polivalente, dedicado aos testes e desenvolvimento de novos pneus da Pirelli, e também está à disposição das montadoras;Serviços;"Serviços de arquitetura e engenharia; testes e análises técnicas"
20/08/2020;2020;8;Empório Jota;São José do Rio Preto;RA São José do Rio Preto;Instalação Sistema de cabine de desinfecção que usa sistema de pulverização com ozônio aquoso para auxiliar na higienização dos carrinhos de compras e até de clientes do supermercado;Comércio;Comércio varejista
20/08/2020;2020;8;Carrefour;São José do Rio Preto;RA São José do Rio Preto;Instalação Sistema de cabines com luz ultravioleta que auxiliam na higienização dos produtos nas duas unidades do supermercado;Comércio;Comércio varejista
20/08/2020;2020;8;Empório Jota;São José do Rio Preto;RA São José do Rio Preto;Inauguração supermercado  de mercadorias em geral;Comércio;Comércio varejista
19/08/2020;2020;8;Capitão Barba;Ibirá;RA São José do Rio Preto;Abertura bar tipo  pub e cervejaria artesanal da marca;Serviços;Alimentação
18/08/2020;2020;8;Soluções Ambientais de Araçatuba - Samar;Araçatuba;RA Araçatuba;Construção Estação e Tratamento de Água, a ETA 4, que será construída às margens do Ribeirão Baguaça;Infraestrutura;Captação, tratamento e distribuição de água
17/08/2020;2020;8;Sabesp;Guarujá;RA Santos;Concessão manutenção , ampliação, modernização do serviço de abastecimento de água e tratamento de esgoto, por 30 anos;Infraestrutura;Esgoto e atividades relacionadas
16/08/2020;2020;8;Hospital Santana;Mogi das Cruzes;RM São Paulo;Reforma estrutura interna da hotelaria e alterou sua fachada, seguindo a identidade visual do Grupo NotreDame Intermédica (GNDI);Serviços;Atividades de atenção à saúde humana
15/08/2020;2020;8;Sabesp;Santos;RA Santos;Reforço, expansão e manutenção Sistema de esgotamento sanitário, entre as avenidas Conselheiro Nébias e Bartolomeu de Gusmão;Infraestrutura;Esgoto e atividades relacionadas
15/08/2020;2020;8;Annecy Café Bar;São José do Rio Preto;RA São José do Rio Preto;Inauguração bar e café;Serviços;Alimentação
14/08/2020;2020;8;Quincho;São Paulo;RM São Paulo;Reforma restaurante  tipo cozinha vegetariana descomplicada;Serviços;Alimentação
14/08/2020;2020;8;Jiquitaia;São Paulo;RM São Paulo;Abertura restaurante de pratos variados com coquetelaria na rua  Rua Coronel Oscar Porto, 808 no bairro Paraíso (S);Serviços;Alimentação
14/08/2020;2020;8;Locale Caffè;São Paulo;RM São Paulo;Inauguração bar e café típico italiano;Serviços;Alimentação
13/08/2020;2020;8;Circuito de Compras São Paulo;São Paulo;RM São Paulo;Construção Shopping Center  popular na região central da cidade;Serviços;Atividades imobiliárias
13/08/2020;2020;8;5 Ecos;Santa Bárbara d'Oeste;RA Campinas;Desenvolvimento máquina para destinação e utilização de sobras de comida de restaurantes industriais, resíduos sólidos de suinocultura e lodo de esgoto;Indústria;Fabricação de máquinas e equipamentos
12/08/2020;2020;8;Burger King;Birigui;RA Araçatuba;Inauguração restaurante fast food de hambúrgueres  na Avenida João Cernach esquina com a Rua Dr. Artur Cordeiro;Serviços;Alimentação
12/08/2020;2020;8;Notre Dame Intermédica;Santo André;RM São Paulo;Inauguração Centro  clínico e hospitalar, a unidade avançada de atendimento, que possui pronto-socorro;Serviços;Atividades de atenção à saúde humana
12/08/2020;2020;8;Italínea Mobile Prime;Taubaté;RA São José dos Campos;Inauguração loja de móveis planejados;Comércio;Comércio varejista
12/08/2020;2020;8;Telecom Itália Mobile - TIM;São José do Rio Preto;RA São José do Rio Preto;Inauguração loja de telefones celularesl, no Shopping Cidade Norte;Comércio;Comércio varejista
12/08/2020;2020;8;Telecom Itália Mobile - TIM;São José do Rio Preto;RA São José do Rio Preto;Inauguração loja de telefones celulares, no Plaza Avenida Shopping;Comércio;Comércio varejista
12/08/2020;2020;8;Speedbird Aero;Franca;RA Franca;Abertura empresa de entrega de produtos por meio de drones;Infraestrutura;Correio e outras atividades de entrega
12/08/2020;2020;8;Sabesp;Ilhabela;RA São José dos Campos;Concessão manutenção , ampliação, modernização do serviço de abastecimento de água e tratamento de esgoto, por 30 anos;Infraestrutura;Captação, tratamento e distribuição de água
11/08/2020;2020;8;Havan;Santo André;RM São Paulo;Construção loja de departamentos, eletrodomésticos e equipamentos de áudio e vídeo na Avenida dos Estados;Comércio;Comércio varejista
11/08/2020;2020;8;Supermercado Proença;São José do Rio Preto;RA São José do Rio Preto;Instalação supermercado  de mercadorias em geral, na avenida Nossa Senhora de Paz;Comércio;Comércio varejista
11/08/2020;2020;8;Supermercado Proença;Fernandópolis;RA São José do Rio Preto;Instalação supermercado de mercadorias em geral;Comércio;Comércio varejista
11/08/2020;2020;8;Azul Conecta;Barueri;RM São Paulo;Instalação empresa de transporte por aviões contando com 14 aeronaves Cesna Gran Caravan;Infraestrutura;Transporte aéreo
10/08/2020;2020;8;Universidade São Judas Tadeu;Guarulhos;RM São Paulo;Ampliação faculdade com mais salas de aula e laboratórios;Serviços;Educação
10/08/2020;2020;8;Usina São Manoel;São Manuel;RA Sorocaba;Instalação projeto de transformação digital no seu processo de produção de cana de açúcar, etanol e energia na biodiversidade;Indústria;Fabricação de produtos alimentícios
10/08/2020;2020;8;Santa Casa de Araçatuba;Araçatuba;RA Araçatuba;Ampliação e modernização complexo hospitalar;Serviços;Atividades de atenção à saúde humana
08/08/2020;2020;8;BYD;Campinas;RA Campinas;Inauguração usina fotovoltaica dedicada à pesquisa e desenvolvimento;Serviços;Pesquisa e desenvolvimento científico
07/08/2020;2020;8;Greguss Container;Guarulhos;RM São Paulo;Inauguração lanchonete  com churrasco grego gourmet;Serviços;Alimentação
07/08/2020;2020;8;Capricornio Coffees;Ourinhos;RA Marília;Instalação empresa  beneficiadora de café para produção e armazém;Indústria;Fabricação de produtos alimentícios
06/08/2020;2020;8;EDP São Paulo;Inter-regionais;Inter-regionais;Implantação projeto  o Programa de Eficiência Energética, no Senai de Guarulhos, Etec de Cruzeiro e Hospital Santa Casa de Pindamonhangaba, serão beneficiadas com a substituição de lâmpadas em suas instalações internas;Infraestrutura;Eletricidade, gás e outras utilidades
06/08/2020;2020;8;Saneamento de Palestina - ESAP;Palestina;RA São José do Rio Preto;Inauguração Estação de Tratamento de Esgoto (ETE) no distrito de Jurupeba e construção do sistema de tratamento no distrito de Boturuna;Infraestrutura;Esgoto e atividades relacionadas
05/08/2020;2020;8;Companhia Paulista de Força e Luz - CPFL;Sumaré;RA Campinas;Construção subestação de energia com sete alimentadores, além de promover a modernização e automatização da rede elétrica;Infraestrutura;Eletricidade, gás e outras utilidades
05/08/2020;2020;8;Braspress;Guarulhos;RM São Paulo;Ampliação empresa especializada em transporte de encomendas com a compra de 235 caminhões da marca Mercedes Benz;Infraestrutura;Transporte terrestre
04/08/2020;2020;8;Faculdade de Engenharia de Sorocaba - FACENS;Sorocaba;RA Sorocaba;Desenvolvimento rodovia com Inteligência Artificial que se comunica com as pessoas e se aprimora a partir de todo contato com humanos;Serviços;Educação
02/08/2020;2020;8;Bandeiras Centro Empresarial;Votorantim;RA Sorocaba;Ampliação sistema(s) tecnológicos de monitoramento, controle de acesso e portaria 24 horas;Serviços;Atividades imobiliárias
31/07/2020;2020;7;Colégio Politécnico Sorocaba;Sorocaba;RA Sorocaba;Ampliação escola de ensino técnico, fundamental e médio, 5 salas;Serviços;Educação
